phase,user_id,post_id,successful,created_time,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_9999
1,0,106559059416913_1093863987353077,0,"2019-05-16 16:08:22",0,0,1,0,1,0,0,0,0,0,0
1,0,106559059416913_1125581077514701,1,"2019-05-16 16:12:03",0,0,1,0,1,0,0,0,1,0,0
1,0,106559059416913_153802114709014,0,"2019-05-16 16:18:18",0,0,1,0,0,0,0,1,0,0,0
1,0,106559059416913_2206464882759643,0,"2019-05-16 16:16:48",1,0,1,0,0,0,0,0,0,0,0
1,0,106559059416913_2371114366294693,0,"2019-05-16 16:05:38",0,0,1,0,1,0,0,0,1,0,0
1,0,106559059416913_484599254946223,0,"2019-05-16 16:10:52",1,0,1,0,0,0,0,0,1,1,0
1,0,106559059416913_691260704280076,0,"2019-05-16 16:15:02",0,0,1,0,0,0,1,0,0,0,0
1,0,768239266617276_1366910073416856,1,"2019-05-16 16:14:22",0,0,1,0,1,0,0,0,1,0,0
1,0,768239266617276_1408947849213078,1,"2019-05-16 16:13:08",0,1,0,0,1,0,0,0,0,0,0
1,0,768239266617276_846379715469897,0,"2019-05-16 16:00:16",1,1,0,1,0,0,0,0,1,1,0
2,1,106559059416913_1033858286686981,1,"2019-06-06 09:56:53",0,1,1,0,0,0,0,0,1,0,0
2,2,106559059416913_1033858286686981,0,"2019-06-05 18:55:58",0,0,1,0,0,0,0,0,0,0,0
2,3,106559059416913_1033858286686981,1,"2019-06-06 10:06:17",0,1,1,0,0,1,0,0,0,1,0
2,4,106559059416913_1033858286686981,0,"2019-06-06 09:52:31",0,1,1,0,1,0,0,0,0,0,0
2,5,106559059416913_1033858286686981,1,"2019-06-06 13:34:16",0,0,1,0,1,0,0,0,0,1,0
2,1,106559059416913_159713954101423,0,"2019-05-17 16:30:05",0,0,0,1,0,0,0,0,1,0,0
2,2,106559059416913_159713954101423,0,"2019-05-20 16:34:41",1,0,0,0,0,0,0,0,0,0,0
2,3,106559059416913_159713954101423,0,"2019-05-19 16:44:12",0,0,1,0,0,0,0,0,0,0,0
2,4,106559059416913_159713954101423,0,"2019-05-23 16:36:56",0,1,1,0,0,0,0,0,0,0,0
2,5,106559059416913_159713954101423,0,"2019-05-20 09:45:09",1,0,0,0,0,0,0,0,1,0,0
2,1,106559059416913_163029643743420,0,"2019-05-17 16:33:42",0,0,1,0,0,0,0,0,0,0,0
2,2,106559059416913_163029643743420,0,"2019-05-20 17:26:53",0,0,0,0,1,0,0,0,0,0,0
2,3,106559059416913_163029643743420,0,"2019-05-19 16:55:38",0,0,0,0,1,0,0,0,0,0,0
2,4,106559059416913_163029643743420,0,"2019-05-23 16:19:36",0,0,1,0,1,0,0,0,0,0,0
2,5,106559059416913_163029643743420,0,"2019-05-20 09:42:20",0,0,1,0,1,0,0,0,0,0,0
2,1,106559059416913_1738372239568912,1,"2019-05-17 16:32:56",0,0,1,0,1,0,0,0,1,0,0
2,2,106559059416913_1738372239568912,0,"2019-05-20 17:02:01",0,0,1,0,0,0,0,0,0,0,0
2,3,106559059416913_1738372239568912,1,"2019-05-19 16:54:05",0,0,1,0,0,0,0,0,0,0,0
2,4,106559059416913_1738372239568912,1,"2019-05-23 16:40:30",0,0,1,0,0,0,0,0,1,0,0
2,5,106559059416913_1738372239568912,1,"2019-05-20 09:38:41",1,0,1,0,1,0,0,0,0,0,0
2,1,106559059416913_1808687425870726,1,"2019-05-17 16:35:25",0,0,1,0,1,0,0,0,1,0,0
2,2,106559059416913_1808687425870726,1,"2019-05-20 16:45:37",0,0,1,0,0,0,0,0,0,0,0
2,3,106559059416913_1808687425870726,1,"2019-05-19 16:37:41",0,0,1,0,0,0,0,0,0,1,0
2,4,106559059416913_1808687425870726,1,"2019-05-23 16:32:22",1,0,1,0,1,0,0,0,0,0,0
2,5,106559059416913_1808687425870726,1,"2019-05-20 09:42:03",1,0,1,0,1,0,0,0,1,0,0
2,1,106559059416913_1896687457070722,0,"2019-05-17 16:34:01",1,0,1,0,0,0,0,0,0,0,0
2,2,106559059416913_1896687457070722,1,"2019-05-20 16:35:33",1,0,1,0,0,0,0,0,0,0,0
2,3,106559059416913_1896687457070722,0,"2019-05-19 16:55:57",0,0,1,1,0,0,0,0,0,0,0
2,4,106559059416913_1896687457070722,0,"2019-05-23 16:29:05",0,0,1,0,0,0,0,0,1,1,0
2,5,106559059416913_1896687457070722,1,"2019-05-20 09:44:25",0,0,1,0,0,0,0,0,1,0,0
2,1,106559059416913_1923503114389156,1,"2019-05-17 16:29:26",0,0,1,0,1,0,0,0,1,1,0
2,2,106559059416913_1923503114389156,1,"2019-05-20 17:25:15",0,0,1,0,1,0,0,0,1,0,0
2,3,106559059416913_1923503114389156,1,"2019-05-19 16:52:16",0,0,1,0,0,0,0,0,1,0,0
2,4,106559059416913_1923503114389156,1,"2019-05-23 16:17:33",1,0,1,0,0,0,0,0,0,0,0
2,5,106559059416913_1923503114389156,1,"2019-05-20 09:29:38",1,0,1,1,0,0,0,0,1,0,0
2,1,106559059416913_202858976442065,0,"2019-06-05 23:17:25",0,0,1,0,0,0,0,0,0,1,0
2,2,106559059416913_202858976442065,0,"2019-06-05 18:41:44",0,0,1,0,0,0,0,0,0,0,0
2,3,106559059416913_202858976442065,0,"2019-06-06 09:55:06",0,0,1,0,0,0,0,0,1,1,0
2,4,106559059416913_202858976442065,0,"2019-06-06 09:40:36",0,0,1,0,0,0,0,0,0,0,0
2,5,106559059416913_202858976442065,0,"2019-06-06 13:31:00",0,0,1,0,1,1,0,0,0,0,0
2,1,106559059416913_208153359258356,0,"2019-05-17 16:22:26",0,0,1,0,0,0,0,0,1,0,0
2,2,106559059416913_208153359258356,0,"2019-05-20 17:02:18",0,0,1,0,0,0,0,0,0,0,0
2,3,106559059416913_208153359258356,0,"2019-05-19 16:39:24",0,0,1,0,0,0,0,0,0,1,0
2,4,106559059416913_208153359258356,0,"2019-05-23 16:38:21",0,0,1,0,1,0,0,0,0,0,0
2,5,106559059416913_208153359258356,0,"2019-05-20 09:36:00",0,0,1,0,0,0,0,0,1,0,0
2,1,106559059416913_2095130360559763,0,"2019-06-06 10:02:25",0,0,1,0,0,1,0,0,0,0,0
2,2,106559059416913_2095130360559763,0,"2019-06-05 18:38:49",0,0,0,0,0,1,0,0,1,0,0
2,3,106559059416913_2095130360559763,0,"2019-06-06 10:26:24",0,0,1,0,0,1,0,0,1,0,0
2,4,106559059416913_2095130360559763,0,"2019-06-06 09:31:47",1,0,0,1,0,1,0,0,0,0,0
2,5,106559059416913_2095130360559763,0,"2019-06-06 12:58:38",0,0,1,0,0,0,0,0,0,0,0
2,1,106559059416913_2110522642353868,0,"2019-05-17 16:36:17",0,0,0,1,0,0,0,0,0,1,0
2,2,106559059416913_2110522642353868,0,"2019-05-20 16:41:48",0,0,1,0,1,1,0,0,0,0,0
2,3,106559059416913_2110522642353868,0,"2019-05-19 16:56:17",0,0,0,0,0,1,0,0,0,0,0
2,4,106559059416913_2110522642353868,0,"2019-05-23 16:50:52",0,0,0,1,0,0,0,0,0,0,0
2,5,106559059416913_2110522642353868,0,"2019-05-27 08:38:43",0,0,0,1,0,0,0,0,1,0,0
2,1,106559059416913_228666980539453,1,"2019-05-17 16:35:10",0,0,1,1,1,0,0,0,1,0,0
2,2,106559059416913_228666980539453,1,"2019-05-20 16:31:54",0,0,1,0,0,0,0,0,0,0,0
2,3,106559059416913_228666980539453,0,"2019-05-19 16:36:27",0,0,1,0,0,0,0,0,0,0,0
2,4,106559059416913_228666980539453,0,"2019-05-23 16:29:43",0,1,1,0,0,0,0,0,0,0,0
2,5,106559059416913_228666980539453,0,"2019-05-20 09:32:53",0,0,1,0,0,0,0,0,1,0,0
2,1,106559059416913_2371090236297106,0,"2019-05-17 16:34:40",0,0,1,0,0,0,0,0,0,0,0
2,2,106559059416913_2371090236297106,0,"2019-05-20 16:52:03",0,0,1,0,0,0,0,0,1,1,0
2,3,106559059416913_2371090236297106,0,"2019-05-19 16:46:38",0,0,1,0,0,0,0,0,0,0,0
2,4,106559059416913_2371090236297106,0,"2019-05-23 16:43:52",0,0,0,1,1,0,0,0,0,0,0
2,5,106559059416913_2371090236297106,0,"2019-05-20 11:16:05",0,0,1,0,0,0,0,0,0,0,0
2,1,106559059416913_240899475956626,1,"2019-05-17 16:28:47",0,0,1,0,1,0,0,0,1,0,0
2,2,106559059416913_240899475956626,0,"2019-05-20 16:53:23",0,0,1,0,0,0,0,0,0,0,0
2,3,106559059416913_240899475956626,0,"2019-05-19 16:50:47",0,0,1,0,0,0,0,0,1,1,0
2,4,106559059416913_240899475956626,0,"2019-05-23 16:20:09",0,1,1,0,0,0,0,0,0,0,0
